2022-11-01 21:15:04 status unpacked hostname:amd64 3.23ubuntu2
2022-11-01 21:15:04 install init-system-helpers:all <none> 1.62
2022-11-01 21:15:04 status half-installed init-system-helpers:all 1.62
2022-11-01 21:15:04 status unpacked init-system-helpers:all 1.62
2022-11-01 21:15:04 install libacl1:amd64 <none> 2.3.1-1
2022-11-01 21:15:04 status half-installed libacl1:amd64 2.3.1-1
2022-11-01 21:15:04 status unpacked libacl1:amd64 2.3.1-1
2022-11-01 21:15:04 install libattr1:amd64 <none> 1:2.5.1-1build1
2022-11-01 21:15:04 status half-installed libattr1:amd64 1:2.5.1-1build1
2022-11-01 21:15:04 status unpacked libattr1:amd64 1:2.5.1-1build1
2022-11-01 21:15:04 install libaudit-common:all <none> 1:3.0.7-1build1
2022-11-01 21:15:04 status half-installed libaudit-common:all 1:3.0.7-1build1
2022-11-01 21:15:04 status unpacked libaudit-common:all 1:3.0.7-1build1
2022-11-01 21:15:04 install libaudit1:amd64 <none> 1:3.0.7-1build1
2022-11-01 21:15:04 status half-installed libaudit1:amd64 1:3.0.7-1build1
2022-11-01 21:15:04 status unpacked libaudit1:amd64 1:3.0.7-1build1
2022-11-01 21:15:04 install libblkid1:amd64 <none> 2.37.2-4ubuntu3
2022-11-01 21:15:04 status half-installed libblkid1:amd64 2.37.2-4ubuntu3
2022-11-01 21:15:04 status unpacked libblkid1:amd64 2.37.2-4ubuntu3
2022-11-01 21:15:04 install libbz2-1.0:amd64 <none> 1.0.8-5build1
2022-11-01 21:15:04 status half-installed libbz2-1.0:amd64 1.0.8-5build1
2022-11-01 21:15:04 status unpacked libbz2-1.0:amd64 1.0.8-5build1
2022-11-01 21:15:04 install libc-bin:amd64 <none> 2.35-0ubuntu3
2022-11-01 21:15:04 status half-installed libc-bin:amd64 2.35-0ubuntu3
2022-11-01 21:15:04 status unpacked libc-bin:amd64 2.35-0ubuntu3
